B,L,D,C1 Load,R1 Resistance,C2 Load,R2 Resistance,Volume,Price
0.81,0.91,3.85,596.111715,656.324399,464.2309,485.0193422,0.36855,42383.25
0.81,0.91,3.9,597.1068,664.9011221,464.968,491.3561729,0.36855,42383.25
0.81,0.91,3.95,598.101885,673.4778451,465.7051,497.6930037,0.36855,42383.25
0.81,0.91,4,599.09697,682.0545682,466.4422,504.0298344,0.36855,42383.25
0.76,0.97,3.8,595.12716,637.124451,463.5016,471.096665,0.3686,42389
0.76,0.97,3.85,596.12238,645.5604295,464.2388,477.3329925,0.3686,42389
0.76,0.97,3.9,597.1176,653.996408,464.976,483.56932,0.3686,42389
0.76,0.97,3.95,598.11282,662.4323865,465.7132,489.8056475,0.3686,42389
0.76,0.97,4,599.10804,670.868365,466.4504,496.041975,0.3686,42389
0.82,0.9,3.8,595.2114,650.6509627,463.564,480.7758305,0.369,42435
0.82,0.9,3.85,596.2077,659.2661442,464.302,487.1403887,0.369,42435
0.82,0.9,3.9,597.204,667.8813258,465.04,493.504947,0.369,42435
0.82,0.9,3.95,598.2003,676.4965074,465.778,499.8695053,0.369,42435
0.82,0.9,4,599.1966,685.111689,466.516,506.2340636,0.369,42435
0.83,0.89,3.8,595.28511,653.4300152,463.6186,482.776068,0.36935,42475.25
0.83,0.89,3.85,596.282355,662.0820108,464.3573,489.167122,0.36935,42475.25
0.83,0.89,3.9,597.2796,670.7340064,465.096,495.558176,0.36935,42475.25
0.83,0.89,3.95,598.276845,679.3860019,465.8347,501.94923,0.36935,42475.25
0.83,0.89,4,599.27409,688.0379975,466.5734,508.3402839,0.36935,42475.25
0.84,0.88,3.8,595.33776,656.0848337,463.6576,484.6832241,0.3696,42504
0.77,0.96,3.8,595.33776,640.7246545,463.6576,473.7116675,0.3696,42504
0.84,0.88,3.85,596.33568,664.7719987,464.3968,491.0995419,0.3696,42504
0.77,0.96,3.85,596.33568,649.2083172,464.3968,479.9826265,0.3696,42504
0.84,0.88,3.9,597.3336,673.4591637,465.136,497.5158598,0.3696,42504
0.77,0.96,3.9,597.3336,657.6919799,465.136,486.2535856,0.3696,42504
0.84,0.88,3.95,598.33152,682.1463287,465.8752,503.9321776,0.3696,42504
0.77,0.96,3.95,598.33152,666.1756426,465.8752,492.5245447,0.3696,42504
0.84,0.88,4,599.32944,690.8334937,466.6144,510.3484955,0.3696,42504
0.77,0.96,4,599.32944,674.6593053,466.6144,498.7955038,0.3696,42504
0.85,0.87,3.8,595.36935,658.6154181,463.681,486.4972986,0.36975,42521.25
0.85,0.87,3.85,596.367675,667.3361079,464.4205,492.9376485,0.36975,42521.25
0.85,0.87,3.9,597.366,676.0567978,465.16,499.3779984,0.36975,42521.25
0.85,0.87,3.95,598.364325,684.7774876,465.8995,505.8183483,0.36975,42521.25
0.85,0.87,4,599.36265,693.4981775,466.639,512.2586982,0.36975,42521.25
0.86,0.86,3.8,595.37988,661.0217683,463.6888,488.2182917,0.3698,42527
0.86,0.86,3.85,596.37834,669.7743385,464.4284,494.6814418,0.3698,42527
0.86,0.86,3.9,597.3768,678.5269086,465.168,501.1445919,0.3698,42527
0.86,0.86,3.95,598.37526,687.2794788,465.9076,507.607742,0.3698,42527
0.86,0.86,4,599.37372,696.0320489,466.6472,514.0708921,0.3698,42527
0.74,1,3.8,595.422,635.1565689,463.72,469.7518349,0.37,42550
0.74,1,3.85,596.421,643.5664562,464.46,475.9703259,0.37,42550
0.74,1,3.9,597.42,651.9763436,465.2,482.1888168,0.37,42550
0.74,1,3.95,598.419,660.3862309,465.94,488.4073078,0.37,42550
0.74,1,4,599.418,668.7961182,466.68,494.6257987,0.37,42550
0.78,0.95,3.8,595.5273,644.2006239,463.798,476.2335885,0.3705,42607.5
0.78,0.95,3.85,596.52765,652.7303262,464.539,482.5379473,0.3705,42607.5
0.78,0.95,3.9,597.528,661.2600285,465.28,488.8423061,0.3705,42607.5
0.78,0.95,3.95,598.52835,669.7897309,466.021,495.1466649,0.3705,42607.5
0.78,0.95,4,599.5287,678.3194332,466.762,501.4510237,0.3705,42607.5
0.75,0.99,3.8,595.68525,639.0809869,463.915,472.6092764,0.37125,42693.75
0.75,0.99,3.85,596.687625,647.5428504,464.6575,478.8656074,0.37125,42693.75
0.75,0.99,3.9,597.69,656.0047139,465.4,485.1219385,0.37125,42693.75
0.75,0.99,3.95,598.692375,664.4665774,466.1425,491.3782696,0.37125,42693.75
0.75,0.99,4,599.69475,672.9284409,466.885,497.6346006,0.37125,42693.75
0.79,0.94,3.8,595.69578,647.5523592,463.9228,478.662428,0.3713,42699.5
0.79,0.94,3.85,596.69829,656.1264566,464.6654,484.9989547,0.3713,42699.5
0.79,0.94,3.9,597.7008,664.700554,465.408,491.3354814,0.3713,42699.5
0.79,0.94,3.95,598.70331,673.2746514,466.1506,497.6720081,0.3713,42699.5
0.79,0.94,4,599.70582,681.8487488,466.8932,504.0085348,0.3713,42699.5
0.8,0.93,3.8,595.8432,650.7798604,464.032,480.998186,0.372,42780
0.8,0.93,3.85,596.8476,659.3967083,464.776,487.3656488,0.372,42780
0.8,0.93,3.9,597.852,668.0135562,465.52,493.7331115,0.372,42780
0.8,0.93,3.95,598.8564,676.6304041,466.264,500.1005743,0.372,42780
0.8,0.93,4,599.8608,685.247252,467.008,506.4680371,0.372,42780
0.76,0.98,3.8,595.92744,642.8811708,464.0944,475.3736363,0.3724,42826
0.76,0.98,3.85,596.93292,651.3933659,464.8392,481.6665757,0.3724,42826
0.76,0.98,3.9,597.9384,659.905561,465.584,487.959515,0.3724,42826
0.76,0.98,3.95,598.94388,668.4177561,466.3288,494.2524544,0.3724,42826
0.76,0.98,4,599.94936,676.9299512,467.0736,500.5453937,0.3724,42826
0.81,0.92,3.8,595.96956,653.8831274,464.1256,483.2408625,0.3726,42849
0.81,0.92,3.85,596.97558,662.5410813,464.8708,489.6380295,0.3726,42849
0.81,0.92,3.9,597.9816,671.1990352,465.616,496.0351965,0.3726,42849
0.81,0.92,3.95,598.98762,679.856989,466.3612,502.4323636,0.3726,42849
0.81,0.92,4,599.99364,688.5149429,467.1064,508.8295306,0.3726,42849
0.82,0.91,3.8,596.07486,656.8621604,464.2036,485.3904575,0.3731,42906.5
0.82,0.91,3.85,597.08223,665.5595757,464.9498,491.8160969,0.3731,42906.5
0.82,0.91,3.9,598.0896,674.2569909,465.696,498.2417364,0.3731,42906.5
0.82,0.91,3.95,599.09697,682.9544062,466.4422,504.6673758,0.3731,42906.5
0.82,0.91,4,600.10434,691.6518214,467.1884,511.0930153,0.3731,42906.5
0.77,0.97,3.8,596.14857,646.5571207,464.2582,478.0449148,0.37345,42946.75
0.77,0.97,3.85,597.156885,655.1180028,465.0051,484.3732306,0.37345,42946.75
0.77,0.97,3.9,598.1652,663.6788849,465.752,490.7015464,0.37345,42946.75
0.77,0.97,3.95,599.173515,672.239767,466.4989,497.0298622,0.37345,42946.75
0.77,0.97,4,600.18183,680.8006491,467.2458,503.358178,0.37345,42946.75
0.83,0.9,3.8,596.1591,659.7169593,464.266,487.4469709,0.3735,42952.5
0.83,0.9,3.85,597.16755,668.4521914,465.013,493.899851,0.3735,42952.5
0.83,0.9,3.9,598.176,677.1874235,465.76,500.3527311,0.3735,42952.5
0.83,0.9,3.95,599.18445,685.9226555,466.507,506.8056111,0.3735,42952.5
0.83,0.9,4,600.1929,694.6578876,467.254,513.2584912,0.3735,42952.5
0.84,0.89,3.8,596.22228,662.4475241,464.3128,489.4104029,0.3738,42987
0.84,0.89,3.85,597.23154,671.2189284,465.0604,495.8892917,0.3738,42987
0.84,0.89,3.9,598.2408,679.9903328,465.808,502.3681806,0.3738,42987
0.84,0.89,3.95,599.25006,688.7617371,466.5556,508.8470694,0.3738,42987
0.84,0.89,4,600.25932,697.5331415,467.3032,515.3259582,0.3738,42987
0.85,0.88,3.8,596.2644,665.0538548,464.344,491.2807534,0.374,43010
0.85,0.88,3.85,597.2742,673.8597868,465.092,497.7844192,0.374,43010
0.85,0.88,3.9,598.284,682.6657189,465.84,504.2880849,0.374,43010
0.85,0.88,3.95,599.2938,691.471651,466.588,510.7917507,0.374,43010
0.85,0.88,4,600.3036,700.277583,467.336,517.2954164,0.374,43010
0.86,0.87,3.8,596.28546,667.5359514,464.3596,493.0580224,0.3741,43021.5
0.86,0.87,3.85,597.29553,676.3747666,465.1078,499.5852333,0.3741,43021.5
0.86,0.87,3.9,598.3056,685.2135818,465.856,506.1124441,0.3741,43021.5
0.86,0.87,3.95,599.31567,694.052397,466.6042,512.639655,0.3741,43021.5
0.86,0.87,4,600.32574,702.8912122,467.3524,519.1668659,0.3741,43021.5
0.78,0.96,3.8,596.34864,650.1088364,464.4064,480.6231117,0.3744,43056
0.78,0.96,3.85,597.35952,658.716761,465.1552,486.9855721,0.3744,43056
0.78,0.96,3.9,598.3704,667.3246856,465.904,493.3480325,0.3744,43056
0.78,0.96,3.95,599.38128,675.9326102,466.6528,499.710493,0.3744,43056
0.78,0.96,4,600.39216,684.5405348,467.4016,506.0729534,0.3744,43056
0.75,1,3.8,596.475,644.7619605,464.5,476.8299718,0.375,43125
0.75,1,3.85,597.4875,653.2990377,465.25,483.1421698,0.375,43125
0.75,1,3.9,598.5,661.8361149,466,489.4543678,0.375,43125
0.75,1,3.95,599.5125,670.3731921,466.75,495.7665658,0.375,43125
0.75,1,4,600.525,678.9102693,467.5,502.0787638,0.375,43125
0.79,0.95,3.8,596.52765,653.536318,464.539,483.1082271,0.37525,43153.75
0.79,0.95,3.85,597.540825,662.1896405,465.2895,489.5036004,0.37525,43153.75
0.79,0.95,3.9,598.554,670.842963,466.04,495.8989736,0.37525,43153.75
0.79,0.95,3.95,599.567175,679.4962855,466.7905,502.2943468,0.37525,43153.75
0.79,0.95,4,600.58035,688.149608,467.541,508.68972,0.37525,43153.75
0.8,0.94,3.8,596.6856,656.8395655,464.656,485.5002611,0.376,43240
0.8,0.94,3.85,597.7008,665.5366414,465.408,491.9273153,0.376,43240
0.8,0.94,3.9,598.716,674.2337172,466.16,498.3543695,0.376,43240
0.8,0.94,3.95,599.7312,682.9307931,466.912,504.7814236,0.376,43240
0.8,0.94,4,600.7464,691.627869,467.664,511.2084778,0.376,43240
0.76,0.99,3.8,596.72772,648.6378907,464.6872,479.6506077,0.3762,43263
0.76,0.99,3.85,597.74346,657.2263024,465.4396,486.0001588,0.3762,43263
0.76,0.99,3.9,598.7592,665.814714,466.192,492.34971,0.3762,43263
0.76,0.99,3.95,599.77494,674.4031257,466.9444,498.6992612,0.3762,43263
0.76,0.99,4,600.79068,682.9915373,467.6968,505.0488124,0.3762,43263
0.81,0.93,3.8,596.82249,660.0185789,464.7574,487.7992135,0.37665,43314.75
0.81,0.93,3.85,597.839445,668.7577636,465.5107,494.2567168,0.37665,43314.75
0.81,0.93,3.9,598.8564,677.4969482,466.264,500.7142202,0.37665,43314.75
0.81,0.93,3.95,599.873355,686.2361329,467.0173,507.1717235,0.37665,43314.75
0.81,0.93,4,600.89031,694.9753176,467.7706,513.6292268,0.37665,43314.75
0.82,0.92,3.8,596.93832,663.0733582,464.8432,490.0050844,0.3772,43378
0.82,0.92,3.85,597.95676,671.8530071,465.5976,496.4918051,0.3772,43378
0.82,0.92,3.9,598.9752,680.632656,466.352,502.9785257,0.3772,43378
0.82,0.92,3.95,599.99364,689.4123049,467.1064,509.4652464,0.3772,43378
0.82,0.92,4,601.01208,698.1919538,467.8608,515.951967,0.3772,43378
0.77,0.98,3.8,596.95938,652.3895869,464.8588,482.378162,0.3773,43389.5
0.77,0.98,3.85,597.97809,661.0276884,465.6134,488.7638346,0.3773,43389.5
0.77,0.98,3.9,598.9968,669.6657899,466.368,495.1495071,0.3773,43389.5
0.77,0.98,3.95,600.01551,678.3038915,467.1226,501.5351796,0.3773,43389.5
0.77,0.98,4,601.03422,686.941993,467.8772,507.9208521,0.3773,43389.5
0.83,0.91,3.8,597.03309,666.0039034,464.9134,492.1178739,0.37765,43429.75
0.83,0.91,3.85,598.052745,674.822372,465.6687,498.63258,0.37765,43429.75
0.83,0.91,3.9,599.0724,683.6408406,466.424,505.1472861,0.37765,43429.75
0.83,0.91,3.95,600.092055,692.4593092,467.1793,511.6619923,0.37765,43429.75
0.83,0.91,4,601.11171,701.2777778,467.9346,518.1766984,0.37765,43429.75
0.84,0.9,3.8,597.1068,668.8102145,464.968,494.1375818,0.378,43470
0.84,0.9,3.85,598.1274,677.6658582,465.724,500.6790416,0.378,43470
0.84,0.9,3.9,599.148,686.5215019,466.48,507.2205014,0.378,43470
0.84,0.9,3.95,600.1686,695.3771456,467.236,513.7619612,0.378,43470
0.84,0.9,4,601.1892,704.2327893,467.992,520.303421,0.378,43470
0.85,0.89,3.8,597.15945,671.4922915,465.007,496.0642082,0.37825,43498.75
0.85,0.89,3.85,598.180725,680.3834658,465.7635,502.6311898,0.37825,43498.75
0.85,0.89,3.9,599.202,689.27464,466.52,509.1981715,0.37825,43498.75
0.85,0.89,3.95,600.223275,698.1658143,467.2765,515.7651531,0.37825,43498.75
0.85,0.89,4,601.24455,707.0569886,468.033,522.3321347,0.37825,43498.75
0.78,0.97,3.8,597.16998,656.0170489,465.0148,485.0126349,0.3783,43504.5
0.78,0.97,3.85,598.19139,664.7031957,465.7714,491.433197,0.3783,43504.5
0.78,0.97,3.9,599.2128,673.3893426,466.528,497.853759,0.3783,43504.5
0.78,0.97,3.95,600.23421,682.0754895,467.2846,504.274321,0.3783,43504.5
0.78,0.97,4,601.25562,690.7616363,468.0412,510.6948831,0.3783,43504.5
0.86,0.88,3.8,597.19104,674.0501344,465.0304,497.8977531,0.3784,43516
0.86,0.88,3.85,598.21272,682.9751947,465.7872,504.4890248,0.3784,43516
0.86,0.88,3.9,599.2344,691.9002549,466.544,511.0802964,0.3784,43516
0.86,0.88,3.95,600.25608,700.8253152,467.3008,517.671568,0.3784,43516
0.86,0.88,4,601.27776,709.7503755,468.0576,524.2628396,0.3784,43516
0.87,0.87,3.8,597.20157,676.4837432,465.0382,499.6382165,0.37845,43521.75
0.87,0.87,3.85,598.223385,685.4410449,465.7951,506.2525463,0.37845,43521.75
0.87,0.87,3.9,599.2452,694.3983466,466.552,512.8668761,0.37845,43521.75
0.87,0.87,3.95,600.267015,703.3556483,467.3089,519.4812059,0.37845,43521.75
0.87,0.87,4,601.28883,712.31295,468.0658,526.0955357,0.37845,43521.75
0.79,0.96,3.8,597.35952,659.5202768,465.1552,487.5540263,0.3792,43608
0.79,0.96,3.85,598.38336,668.2528244,465.9136,494.008246,0.3792,43608
0.79,0.96,3.9,599.4072,676.9853721,466.672,500.4624658,0.3792,43608
0.79,0.96,3.95,600.43104,685.7179197,467.4304,506.9166855,0.3792,43608
0.79,0.96,4,601.45488,694.4504673,468.1888,513.3709052,0.3792,43608
0.8,0.95,3.8,597.528,662.8992706,465.28,490.0023362,0.38,43700
0.76,1,3.8,597.528,654.3946106,465.28,483.927579,0.38,43700
0.8,0.95,3.85,598.554,671.6765745,466.04,496.4889818,0.38,43700
0.76,1,3.85,598.554,663.0592388,466.04,490.333742,0.38,43700
0.8,0.95,3.9,599.58,680.4538783,466.8,502.9756274,0.38,43700
0.76,1,3.9,599.58,671.723867,466.8,496.739905,0.38,43700
0.8,0.95,3.95,600.606,689.2311821,467.56,509.462273,0.38,43700
0.76,1,3.95,600.606,680.3884952,467.56,503.146068,0.38,43700
0.8,0.95,4,601.632,698.008486,468.32,515.9489185,0.38,43700
0.76,1,4,601.632,689.0531235,468.32,509.552231,0.38,43700
0.81,0.94,3.8,597.67542,666.1540304,465.3892,492.3575645,0.3807,43780.5
0.81,0.94,3.85,598.70331,674.9744458,466.1506,498.8754042,0.3807,43780.5
0.81,0.94,3.9,599.7312,683.7948613,466.912,505.3932438,0.3807,43780.5
0.81,0.94,3.95,600.75909,692.6152768,467.6734,511.9110834,0.3807,43780.5
0.81,0.94,4,601.78698,701.4356923,468.4348,518.4289231,0.3807,43780.5
0.77,0.99,3.8,597.77019,658.2220531,465.4594,486.7114093,0.38115,43832.25
0.77,0.99,3.85,598.799295,666.937374,466.2217,493.1544386,0.38115,43832.25
0.77,0.99,3.9,599.8284,675.652695,466.984,499.5974678,0.38115,43832.25
0.77,0.99,3.95,600.857505,684.3680159,467.7463,506.0404971,0.38115,43832.25
0.77,0.99,4,601.88661,693.0833368,468.5086,512.4835263,0.38115,43832.25
0.82,0.93,3.8,597.80178,669.284556,465.4828,494.6197114,0.3813,43849.5
0.82,0.93,3.85,598.83129,678.1464385,466.2454,501.1675132,0.3813,43849.5
0.82,0.93,3.9,599.8608,687.0083211,467.008,507.7153151,0.3813,43849.5
0.82,0.93,3.95,600.89031,695.8702037,467.7706,514.2631169,0.3813,43849.5
0.82,0.93,4,601.91982,704.7320862,468.5332,520.8109187,0.3813,43849.5
0.83,0.92,3.8,597.90708,672.2908475,465.5608,496.7887768,0.3818,43907
0.83,0.92,3.85,598.93794,681.1925526,466.3244,503.365309,0.3818,43907
0.83,0.92,3.9,599.9688,690.0942577,467.088,509.9418412,0.3818,43907
0.83,0.92,3.95,600.99966,698.9959628,467.8516,516.5183734,0.3818,43907
0.83,0.92,4,602.03052,707.8976679,468.6152,523.0949056,0.3818,43907
0.84,0.91,3.8,597.99132,675.1729049,465.6232,498.8647606,0.3822,43953
0.78,0.98,3.8,597.99132,661.9252614,465.6232,489.4021581,0.3822,43953
0.84,0.91,3.85,599.02326,684.112788,466.3876,505.4687914,0.3822,43953
0.78,0.98,3.85,599.02326,670.6896305,466.3876,495.8808218,0.3822,43953
0.84,0.91,3.9,600.0552,693.052671,467.152,512.0728222,0.3822,43953
0.78,0.98,3.9,600.0552,679.4539996,467.152,502.3594855,0.3822,43953
0.84,0.91,3.95,601.08714,701.9925541,467.9164,518.6768529,0.3822,43953
0.78,0.98,3.95,601.08714,688.2183688,467.9164,508.8381491,0.3822,43953
0.84,0.91,4,602.11908,710.9324372,468.6808,525.2808837,0.3822,43953
0.78,0.98,4,602.11908,696.9827379,468.6808,515.3168128,0.3822,43953
0.85,0.9,3.8,598.0545,677.9307282,465.67,500.847663,0.3825,43987.5
0.85,0.9,3.85,599.08725,686.9071447,466.435,507.4779605,0.3825,43987.5
0.85,0.9,3.9,600.12,695.8835612,467.2,514.108258,0.3825,43987.5
0.85,0.9,3.95,601.15275,704.8599776,467.965,520.7385555,0.3825,43987.5
0.85,0.9,4,602.1855,713.8363941,468.73,527.3688529,0.3825,43987.5
0.86,0.89,3.8,598.09662,680.5643174,465.7012,502.7374839,0.3827,44010.5
0.86,0.89,3.85,599.12991,689.5756227,466.4666,509.3928162,0.3827,44010.5
0.86,0.89,3.9,600.1632,698.5869281,467.232,516.0481486,0.3827,44010.5
0.86,0.89,3.95,601.19649,707.5982334,467.9974,522.703481,0.3827,44010.5
0.86,0.89,4,602.22978,716.6095387,468.7628,529.3588134,0.3827,44010.5
0.87,0.88,3.8,598.11768,683.0736725,465.7168,504.5342232,0.3828,44022
0.87,0.88,3.85,599.15124,692.1182221,466.4824,511.2133587,0.3828,44022
0.87,0.88,3.9,600.1848,701.1627718,467.248,517.8924941,0.3828,44022
0.87,0.88,3.95,601.21836,710.2073214,468.0136,524.5716296,0.3828,44022
0.87,0.88,4,602.25192,719.251871,468.7792,531.250765,0.3828,44022
0.79,0.97,3.8,598.19139,665.5042356,465.7714,491.9998255,0.38315,44062.25
0.79,0.97,3.85,599.225895,674.3160084,466.5377,498.5128917,0.38315,44062.25
0.79,0.97,3.9,600.2604,683.1277811,467.304,505.0259579,0.38315,44062.25
0.79,0.97,3.95,601.294905,691.9395539,468.0703,511.5390242,0.38315,44062.25
0.79,0.97,4,602.32941,700.7513266,468.8366,518.0520904,0.38315,44062.25
0.8,0.96,3.8,598.3704,668.9589758,465.904,494.5044113,0.384,44160
0.8,0.96,3.85,599.4072,677.8165076,466.672,501.0506483,0.384,44160
0.8,0.96,3.9,600.444,686.6740394,467.44,507.5968853,0.384,44160
0.8,0.96,3.95,601.4808,695.5315712,468.208,514.1431223,0.384,44160
0.8,0.96,4,602.5176,704.389103,468.976,520.6893593,0.384,44160
0.81,0.95,3.8,598.52835,672.2894818,466.021,496.9159156,0.38475,44246.25
0.81,0.95,3.85,599.567175,681.1911281,466.7905,503.4940915,0.38475,44246.25
0.81,0.95,3.9,600.606,690.0927744,467.56,510.0722674,0.38475,44246.25
0.81,0.95,3.95,601.644825,698.9944207,468.3295,516.6504433,0.38475,44246.25
0.81,0.95,4,602.68365,707.896067,469.099,523.2286193,0.38475,44246.25
0.77,1,3.8,598.581,664.0545193,466.06,491.0446566,0.385,44275
0.77,1,3.85,599.6205,672.8470596,466.83,497.5450426,0.385,44275
0.77,1,3.9,600.66,681.6396,467.6,504.0454286,0.385,44275
0.77,1,3.95,601.6995,690.4321403,468.37,510.5458145,0.385,44275
0.77,1,4,602.739,699.2246807,469.14,517.0462005,0.385,44275
0.82,0.94,3.8,598.66524,675.4957537,466.1224,499.2343384,0.3854,44321
0.82,0.94,3.85,599.70582,684.43987,466.8932,505.8432214,0.3854,44321
0.82,0.94,3.9,600.7464,693.3839862,467.664,512.4521044,0.3854,44321
0.82,0.94,3.95,601.78698,702.3281024,468.4348,519.0609875,0.3854,44321
0.82,0.94,4,602.82756,711.2722187,469.2056,525.6698705,0.3854,44321
0.83,0.93,3.8,598.78107,678.5777916,466.2082,501.4596797,0.38595,44384.25
0.83,0.93,3.85,599.823135,687.5627332,466.9801,508.098038,0.38595,44384.25
0.83,0.93,3.9,600.8652,696.5476748,467.752,514.7363963,0.38595,44384.25
0.83,0.93,3.95,601.907265,705.5326164,468.5239,521.3747546,0.38595,44384.25
0.83,0.93,4,602.94933,714.517558,469.2958,528.0131129,0.38595,44384.25
0.78,0.99,3.8,598.81266,667.8334739,466.2316,493.7916814,0.3861,44401.5
0.78,0.99,3.85,599.85513,676.6760653,467.0038,500.3284466,0.3861,44401.5
0.78,0.99,3.9,600.8976,685.5186567,467.776,506.8652119,0.3861,44401.5
0.78,0.99,3.95,601.94007,694.3612481,468.5482,513.4019772,0.3861,44401.5
0.78,0.99,4,602.98254,703.2038395,469.3204,519.9387425,0.3861,44401.5
0.84,0.92,3.8,598.87584,681.5355953,466.2784,503.5919395,0.3864,44436
0.84,0.92,3.85,599.91912,690.5597177,467.0512,510.2585412,0.3864,44436
0.84,0.92,3.9,600.9624,699.5838402,467.824,516.925143,0.3864,44436
0.84,0.92,3.95,602.00568,708.6079626,468.5968,523.5917447,0.3864,44436
0.84,0.92,4,603.04896,717.632085,469.3696,530.2583464,0.3864,44436
0.85,0.91,3.8,598.94955,684.3691649,466.333,505.6311178,0.38675,44476.25
0.85,0.91,3.85,599.993775,693.4308236,467.1065,512.3247311,0.38675,44476.25
0.85,0.91,3.9,601.038,702.4924823,467.88,519.0183445,0.38675,44476.25
0.85,0.91,3.95,602.082225,711.554141,468.6535,525.7119578,0.38675,44476.25
0.85,0.91,4,603.12645,720.6157997,469.427,532.4055712,0.38675,44476.25
0.86,0.9,3.8,599.0022,687.0785004,466.372,507.5772146,0.387,44505
0.86,0.9,3.85,600.0471,696.1760508,467.146,514.2966077,0.387,44505
0.86,0.9,3.9,601.092,705.2736012,467.92,521.0160009,0.387,44505
0.86,0.9,3.95,602.1369,714.3711516,468.694,527.735394,0.387,44505
0.86,0.9,4,603.1818,723.468702,469.468,534.4547871,0.387,44505
0.79,0.98,3.8,599.02326,671.4881945,466.3876,496.4456246,0.3871,44516.5
0.79,0.98,3.85,600.06843,680.3791923,467.1618,503.0175374,0.3871,44516.5
0.79,0.98,3.9,601.1136,689.2701902,467.936,509.5894501,0.3871,44516.5
0.79,0.98,3.95,602.15877,698.161188,468.7102,516.1613629,0.3871,44516.5
0.79,0.98,4,603.20394,707.0521859,469.4844,522.7332756,0.3871,44516.5
0.87,0.89,3.8,599.03379,689.6636018,466.3954,509.4302299,0.38715,44522.25
0.87,0.89,3.85,600.079095,698.7953994,467.1697,516.174171,0.38715,44522.25
0.87,0.89,3.9,601.1244,707.9271969,467.944,522.9181121,0.38715,44522.25
0.87,0.89,3.95,602.169705,717.0589945,468.7183,529.6620532,0.38715,44522.25
0.87,0.89,4,603.21501,726.190792,469.4926,536.4059943,0.38715,44522.25
0.88,0.88,3.8,599.04432,692.1244692,466.4032,511.1901637,0.3872,44528
0.88,0.88,3.85,600.08976,701.2888693,467.1776,517.9574209,0.3872,44528
0.88,0.88,3.9,601.1352,710.4532694,467.952,524.7246781,0.3872,44528
0.88,0.88,3.95,602.18064,719.6176695,468.7264,531.4919354,0.3872,44528
0.88,0.88,4,603.22608,728.7820696,469.5008,538.2591926,0.3872,44528
0.8,0.97,3.8,599.2128,675.0186809,466.528,499.0064864,0.388,44620
0.8,0.97,3.85,600.2604,683.9564407,467.304,505.6123148,0.388,44620
0.8,0.97,3.9,601.308,692.8942004,468.08,512.2181432,0.388,44620
0.8,0.97,3.95,602.3556,701.8319602,468.856,518.8239716,0.388,44620
0.8,0.97,4,603.4032,710.7697199,469.632,525.4298,0.388,44620
0.81,0.96,3.8,599.38128,678.4249333,466.6528,501.4742666,0.3888,44712
0.81,0.96,3.85,600.43104,687.4078104,467.4304,508.1127788,0.3888,44712
0.81,0.96,3.9,601.4808,696.3906875,468.208,514.7512911,0.3888,44712
0.81,0.96,3.95,602.53056,705.3735646,468.9856,521.3898033,0.3888,44712
0.81,0.96,4,603.58032,714.3564417,469.7632,528.0283155,0.3888,44712
0.82,0.95,3.8,599.5287,681.7069515,466.762,503.8489654,0.3895,44792.5
0.82,0.95,3.85,600.58035,690.7333014,467.541,510.5189296,0.3895,44792.5
0.82,0.95,3.9,601.632,699.7596513,468.32,517.1888938,0.3895,44792.5
0.82,0.95,3.95,602.68365,708.7860012,469.099,523.858858,0.3895,44792.5
0.82,0.95,4,603.7353,717.8123511,469.878,530.5288222,0.3895,44792.5
0.78,1,3.8,599.634,673.7416864,466.84,498.1812046,0.39,44850
0.78,1,3.85,600.687,682.6625001,467.62,504.7760715,0.39,44850
0.78,1,3.9,601.74,691.5833137,468.4,511.3709384,0.39,44850
0.78,1,3.95,602.793,700.5041274,469.18,517.9658053,0.39,44850
0.78,1,4,603.846,709.424941,469.96,524.5606722,0.39,44850
0.83,0.94,3.8,599.65506,684.8647357,466.8556,506.1305826,0.3901,44861.5
0.83,0.94,3.85,600.70833,693.9329138,467.6358,512.830767,0.3901,44861.5
0.83,0.94,3.9,601.7616,703.0010919,468.416,519.5309514,0.3901,44861.5
0.83,0.94,3.95,602.81487,712.06927,469.1962,526.2311357,0.3901,44861.5
0.83,0.94,4,603.86814,721.1374481,469.9764,532.9313201,0.3901,44861.5
0.84,0.93,3.8,599.76036,687.8982857,466.9336,508.3191184,0.3906,44919
0.84,0.93,3.85,600.81498,697.0066475,467.7148,515.0482911,0.3906,44919
0.84,0.93,3.9,601.8696,706.1150093,468.496,521.7774638,0.3906,44919
0.84,0.93,3.95,602.92422,715.2233711,469.2772,528.5066365,0.3906,44919
0.84,0.93,4,603.97884,724.3317329,470.0584,535.2358092,0.3906,44919
0.85,0.92,3.8,599.8446,690.8076016,466.996,510.4145726,0.391,44965
0.85,0.92,3.85,600.9003,699.9545025,467.778,517.1715018,0.391,44965
0.85,0.92,3.9,601.956,709.1014034,468.56,523.928431,0.391,44965
0.85,0.92,3.95,603.0117,718.2483043,469.342,530.6853602,0.391,44965
0.85,0.92,4,604.0674,727.3952052,470.124,537.4422894,0.391,44965
0.79,0.99,3.8,599.85513,677.4721533,467.0038,500.8914238,0.39105,44970.75
0.79,0.99,3.85,600.910965,686.4423763,467.7859,507.522183,0.39105,44970.75
0.79,0.99,3.9,601.9668,695.4125992,468.568,514.1529423,0.39105,44970.75
0.79,0.99,3.95,603.022635,704.3828222,469.3501,520.7837016,0.39105,44970.75
