B,L,D,C1 Load,R1 Resistance,C2 Load,R2 Resistance,Volume,Price
0.75,0.93,3.95,593.771625,629.0268891,462.4975,465.0484922,0.34875,40106.25
0.75,0.93,4,594.71325,637.0374703,463.195,470.9696216,0.34875,40106.25
0.72,0.97,4,594.81288,631.4262595,463.2688,466.9821853,0.3492,40158
0.76,0.92,3.95,593.95752,632.5055386,462.6352,467.5716133,0.3496,40204
0.76,0.92,4,594.90144,640.5604343,463.3344,473.5248817,0.3496,40204
0.7,1,4,594.99,628.6265448,463.4,465.0189606,0.35,40250
0.77,0.91,3.9,593.1756,627.7574547,462.056,464.013782,0.35035,40290.25
0.77,0.91,3.95,594.121545,635.8550204,462.7567,469.9979574,0.35035,40290.25
0.77,0.91,4,595.06749,643.952586,463.4574,475.9821329,0.35035,40290.25
0.73,0.96,3.95,594.13248,627.4311917,462.7648,463.9831941,0.3504,40296
0.73,0.96,4,595.07856,635.4214182,463.4656,469.8907273,0.3504,40296
0.78,0.9,3.9,593.316,630.9367433,462.16,466.3136738,0.351,40365
0.78,0.9,3.95,594.2637,639.0753343,462.862,472.3275245,0.351,40365
0.78,0.9,4,595.2114,647.2139254,463.564,478.3413753,0.351,40365
0.71,0.99,4,595.31103,632.963086,463.6378,468.1827757,0.35145,40416.75
0.74,0.95,3.95,594.37305,631.2469316,462.943,466.7583797,0.3515,40422.5
0.74,0.95,4,595.3221,639.2857647,463.646,472.7012605,0.3515,40422.5
0.79,0.89,3.85,592.485615,625.8105369,461.5449,462.4757263,0.35155,40428.25
0.79,0.89,3.9,593.4348,633.9885087,462.248,468.5180205,0.35155,40428.25
0.79,0.89,3.95,594.383985,642.1664805,462.9511,474.5603147,0.35155,40428.25
0.79,0.89,4,595.33317,650.3444524,463.6542,480.6026088,0.35155,40428.25
0.8,0.88,3.85,592.5816,628.6970427,461.616,464.5573162,0.352,40480
0.8,0.88,3.9,593.532,636.9127508,462.32,470.626822,0.352,40480
0.8,0.88,3.95,594.4824,645.1284589,463.024,476.6963278,0.352,40480
0.8,0.88,4,595.4328,653.344167,463.728,482.7658336,0.352,40480
0.81,0.87,3.85,592.656255,631.45767,461.6713,466.5445928,0.35235,40520.25
0.81,0.87,3.9,593.6076,639.7094698,462.376,472.6400784,0.35235,40520.25
0.81,0.87,3.95,594.558945,647.9612696,463.0807,478.735564,0.35235,40520.25
0.81,0.87,4,595.51029,656.2130694,463.7854,484.8310495,0.35235,40520.25
0.75,0.94,3.9,593.64,626.8477089,462.4,463.4597921,0.3525,40537.5
0.75,0.94,3.95,594.59175,634.9335038,463.105,469.4367884,0.3525,40537.5
0.75,0.94,4,595.5435,643.0192987,463.81,475.4137848,0.3525,40537.5
0.82,0.86,3.8,591.75756,625.8061716,461.0056,462.3173226,0.3526,40549
0.82,0.86,3.85,592.70958,634.0924185,461.7108,468.4375561,0.3526,40549
0.82,0.86,3.9,593.6616,642.3786655,462.416,474.5577896,0.3526,40549
0.82,0.86,3.95,594.61362,650.6649124,463.1212,480.6780231,0.3526,40549
