B,L,D,C1 Load,R1 Resistance,C2 Load,R2 Resistance,Volume,Price
0.39,0.46,4,532.51578,917.3642121,415.02,442.5799753,0.0897,10315.5
0.4,0.45,3.8,532.08,904.1669431,415.02,435.4810381,0.09,10350
0.4,0.45,3.85,532.2015,911.8585531,415.02,439.194591,0.09,10350
0.4,0.45,3.9,532.323,919.5501632,415.02,442.9081439,0.09,10350
0.36,0.5,3.9,532.323,860.8669605,415.02,417.5153962,0.09,10350
0.4,0.45,3.95,532.4445,927.2417733,415.02,446.6216969,0.09,10350
0.36,0.5,3.95,532.4445,868.065082,415.02,421.0152656,0.09,10350
0.4,0.45,4,532.566,934.9333834,415.02,450.3352498,0.09,10350
0.36,0.5,4,532.566,875.2632035,415.02,424.5151349,0.09,10350
0.41,0.44,3.8,532.1124,920.8431209,415.02,442.7964049,0.0902,10373
0.41,0.44,3.85,532.23417,928.6775404,415.02,446.5726464,0.0902,10373
0.41,0.44,3.9,532.35594,936.5119598,415.02,450.3488879,0.0902,10373
0.41,0.44,3.95,532.47771,944.3463793,415.02,454.1251294,0.0902,10373
0.41,0.44,4,532.59948,952.1807988,415.02,457.9013709,0.0902,10373
0.42,0.43,3.8,532.1286,937.2054338,415.02,449.9278056,0.0903,10384.5
0.42,0.43,3.85,532.250505,945.1802489,415.02,453.7652649,0.0903,10384.5
0.42,0.43,3.9,532.37241,953.1550641,415.02,457.6027242,0.0903,10384.5
0.42,0.43,3.95,532.494315,961.1298793,415.02,461.4401835,0.0903,10384.5
0.42,0.43,4,532.61622,969.1046944,415.02,465.2776428,0.0903,10384.5
0.37,0.49,3.8,532.1853,864.7295239,415.02,418.7332834,0.09065,10424.75
0.37,0.49,3.85,532.3076775,872.0829398,415.02,422.3031625,0.09065,10424.75
0.37,0.49,3.9,532.430055,879.4363557,415.02,425.8730417,0.09065,10424.75
0.37,0.49,3.95,532.5524325,886.7897716,415.02,429.4429208,0.09065,10424.75
0.37,0.49,4,532.67481,894.1431875,415.02,433.0128,0.09065,10424.75
0.35,0.52,3.95,532.61055,861.0932279,415.02,418.5025709,0.091,10465
0.35,0.52,4,532.7334,868.2326973,415.02,421.9812994,0.091,10465
0.38,0.48,3.8,532.2744,882.6819733,415.02,426.769904,0.0912,10488
0.38,0.48,3.85,532.39752,890.1882698,415.02,430.4083222,0.0912,10488
0.38,0.48,3.9,532.52064,897.6945664,415.02,434.0467404,0.0912,10488
0.38,0.48,3.95,532.64376,905.2008629,415.02,437.6851586,0.0912,10488
0.38,0.48,4,532.76688,912.7071595,415.02,441.3235768,0.0912,10488
0.39,0.47,3.8,532.3473,900.3263016,415.02,434.6248237,0.09165,10539.75
0.39,0.47,3.85,532.4710275,907.9830651,415.02,438.3303102,0.09165,10539.75
0.39,0.47,3.9,532.594755,915.6398286,415.02,442.0357967,0.09165,10539.75
